Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/cart/checkout,RemoteDisconnected('Remote end closed connection without response'),1,2026-07-09T16:32:14Z,2026-07-09T16:32:14Z
GET,/,RemoteDisconnected('Remote end closed connection without response'),25,2026-07-09T16:32:14Z,2026-07-09T16:32:14Z
GET,/product/[id],RemoteDisconnected('Remote end closed connection without response'),13,2026-07-09T16:32:14Z,2026-07-09T16:32:14Z
POST,/setCurrency,RemoteDisconnected('Remote end closed connection without response'),3,2026-07-09T16:32:14Z,2026-07-09T16:32:14Z
POST,/cart [add],HTTPError('500 Server Error: Internal Server Error for url: /cart [add]'),413,2026-07-09T16:33:44Z,2026-07-09T16:34:03Z
POST,/cart [add],RemoteDisconnected('Remote end closed connection without response'),8,2026-07-09T16:32:14Z,2026-07-09T16:32:14Z
POST,/setCurrency,HTTPError('500 Server Error: Internal Server Error for url: /setCurrency'),225,2026-07-09T16:33:44Z,2026-07-09T16:34:03Z
GET,/,HTTPError('500 Server Error: Internal Server Error for url: /'),1798,2026-07-09T16:33:44Z,2026-07-09T16:34:03Z
GET,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),580,2026-07-09T16:33:44Z,2026-07-09T16:34:03Z
GET,/cart,RemoteDisconnected('Remote end closed connection without response'),12,2026-07-09T16:32:14Z,2026-07-09T16:32:14Z
POST,/cart/checkout,HTTPError('500 Server Error: Internal Server Error for url: /cart/checkout'),427,2026-07-09T16:33:44Z,2026-07-09T16:34:01Z
GET,/product/[id],HTTPError('500 Server Error: Internal Server Error for url: /product/[id]'),1186,2026-07-09T16:33:44Z,2026-07-09T16:34:03Z
