Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783676988,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783676989,50,,Aggregated,0.000000,0.000000,510,700,710,710,800,800,800,800,800,800,800,52,0,500,502.64293274925035,20.343145995866507,801.3792849960737,8960.384615384615
1783676990,150,,Aggregated,0.000000,0.000000,610,710,800,800,930,930,950,950,950,950,950,98,0,610,600.9499690414059,20.343145995866507,948.2357340166345,8817.122448979591
1783676991,200,,Aggregated,52.000000,0.000000,840,990,1100,1300,1400,1600,1700,1700,1800,1800,1800,181,0,840,875.5315900502086,20.343145995866507,1821.5499589859974,9428.049723756905
1783676992,250,,Aggregated,41.000000,0.000000,950,1100,1300,1400,1500,1600,1700,1800,1900,1900,1900,263,0,950,995.0279251294088,20.343145995866507,1927.5537630019244,9336.958174904943
1783676993,284,,Aggregated,57.333333,0.000000,1100,1300,1400,1500,1600,1700,1800,1800,1900,1900,1900,312,0,1100,1066.250682150451,20.343145995866507,1927.5537630019244,9403.314102564103
1783676994,286,,Aggregated,61.750000,0.000000,1200,1400,1500,1600,1900,2200,2300,2400,2500,2500,2500,387,0,1200,1220.4145179148186,20.343145995866507,2464.77916900767,9526.04392764858
1783676995,289,,Aggregated,61.800000,0.000000,1300,1500,1700,1800,2200,2300,2400,2500,2700,2700,2700,489,0,1300,1357.362029688925,20.343145995866507,2721.9712039805017,9509.955010224949
1783676996,291,,Aggregated,63.833333,0.000000,1400,1600,1800,1900,2300,2400,2500,2700,2900,2900,2900,574,0,1400,1419.120722187773,20.343145995866507,2884.8097220179625,9410.121951219513
1783676997,293,,Aggregated,68.000000,0.000000,1400,1600,1800,2000,2300,2400,2500,2700,2900,2900,2900,668,0,1400,1432.2334633726057,20.343145995866507,2884.8097220179625,9501.392215568862
1783676998,296,,Aggregated,69.875000,0.000000,1400,1600,1800,2000,2300,2400,2600,2700,2900,2900,2900,714,0,1400,1434.7007407577162,20.343145995866507,2888.898209988838,9441.535014005602
1783676999,298,,Aggregated,69.875000,0.000000,1400,1600,1800,2000,2300,2500,2700,3200,3500,3500,3500,741,0,1400,1457.5422753239152,20.343145995866507,3478.8480620190967,9477.554655870445
1783677000,300,,Aggregated,72.777778,0.000000,1400,1700,2000,2200,2500,3100,3600,3900,4400,4400,4400,783,0,1400,1562.1829309156117,20.343145995866507,4409.903392981505,9514.116219667943
1783677001,303,,Aggregated,68.900000,0.000000,1500,1900,2200,2300,2800,3400,3700,3900,4400,4400,4400,871,0,1500,1675.499050837958,20.343145995866507,4409.903392981505,9392.175660160734
1783677002,305,,Aggregated,70.100000,0.000000,1600,2000,2300,2400,3200,3700,4400,4500,4800,4800,4800,941,0,1600,1796.4748249436675,20.343145995866507,4781.253998022294,9451.691817215727
1783677003,307,,Aggregated,69.600000,0.000000,1600,2100,2300,2500,3500,4000,4400,4600,4800,4800,4800,1004,0,1600,1863.475554887485,20.343145995866507,4792.169405001914,9432.220119521913
1783677004,310,,Aggregated,69.600000,0.000000,1600,2100,2400,2600,3600,4200,4500,4700,5000,5300,5300,1020,0,1600,1903.2550114323956,20.343145995866507,5347.172730980674,9448.991176470588
1783677005,312,,Aggregated,69.200000,0.000000,1700,2200,2500,2800,3900,4500,5100,5700,5900,6100,6100,1105,0,1700,2047.2099677285041,20.343145995866507,6121.510104014305,9428.496832579185
1783677006,314,,Aggregated,69.200000,0.000000,1800,2300,2600,2900,3900,4500,5100,5700,5900,6100,6100,1162,0,1800,2077.221750586039,20.343145995866507,6121.510104014305,9446.321858864028
1783677007,317,,Aggregated,61.700000,0.000000,1900,2300,2700,3200,4100,4500,5000,5700,5900,6100,6100,1237,0,1900,2157.2922099085326,20.343145995866507,6121.510104014305,9451.245755860953
1783677008,319,,Aggregated,60.300000,0.000000,1900,2300,2800,3200,4100,4500,5000,5700,5900,6100,6100,1294,0,1800,2168.324588212402,20.343145995866507,6121.510104014305,9506.245749613601
1783677009,321,,Aggregated,57.900000,0.000000,1900,2400,2800,3400,4300,4700,5500,5700,6000,6100,6100,1329,0,1900,2233.9354063023943,20.343145995866507,6121.510104014305,9535.555304740406
1783677010,324,,Aggregated,58.600000,0.000000,2000,2500,3000,3500,4400,5000,5600,5800,6000,6100,6100,1375,0,2000,2304.9835621002335,20.343145995866507,6121.510104014305,9529.611636363636
1783677011,326,,Aggregated,58.100000,0.000000,2100,2600,3200,3700,4500,5100,5600,5800,6100,6100,6100,1452,0,2100,2387.893511645168,20.343145995866507,6121.510104014305,9497.86570247934
1783677012,328,,Aggregated,58.300000,0.000000,2100,2800,3300,3800,4600,5100,5600,5800,6100,6100,6100,1531,0,2100,2451.5767183969683,20.343145995866507,6121.510104014305,9449.66557805356
1783677013,331,,Aggregated,56.800000,0.000000,2200,2800,3400,3800,4600,5100,5600,5800,6100,6100,6100,1582,0,2200,2495.3879464986358,20.343145995866507,6121.510104014305,9457.031605562579
1783677014,333,,Aggregated,58.600000,0.000000,2200,2900,3500,3900,4700,5200,5600,5800,6100,6100,6100,1641,0,2200,2541.5271049884172,20.343145995866507,6121.510104014305,9482.684338817795
1783677015,335,,Aggregated,58.600000,0.000000,2300,3000,3600,3900,4700,5200,5700,5800,6100,6100,6100,1703,0,2300,2572.966304362996,20.343145995866507,6121.510104014305,9490.137991779213
1783677016,337,,Aggregated,61.300000,0.000000,2300,3100,3600,4000,4700,5200,5700,5900,6100,6900,6900,1767,0,2300,2606.187954998443,20.343145995866507,6870.27985198074,9482.091680814941
1783677017,340,,Aggregated,61.000000,0.000000,2300,3100,3600,3900,4700,5200,5700,5800,6100,6900,6900,1845,0,2300,2614.443360674896,20.343145995866507,6870.27985198074,9423.11273712737
1783677018,342,,Aggregated,59.700000,0.000000,2400,3100,3600,4000,4700,5100,5600,5800,6100,6900,6900,1903,0,2400,2642.527380352293,20.343145995866507,6870.27985198074,9449.35838150289
1783677019,344,,Aggregated,60.300000,0.000000,2400,3200,3700,4000,4700,5200,5700,5800,6100,6900,6900,1934,0,2400,2672.472927380792,20.343145995866507,6870.27985198074,9486.360392967943
1783677020,346,,Aggregated,60.500000,0.000000,2400,3200,3700,4100,4700,5200,5700,5800,6800,6900,6900,1994,0,2400,2699.694883137638,20.343145995866507,6870.27985198074,9466.567703109327
1783677021,349,,Aggregated,61.100000,0.000000,2500,3300,3800,4200,4800,5300,5700,5900,6800,7400,7400,2043,0,2500,2741.622782231333,20.343145995866507,7395.652053004596,9458.37836514929
1783677022,351,,Aggregated,61.000000,0.000000,2600,3300,3800,4200,4900,5300,5700,5900,7100,7400,7400,2114,0,2600,2791.2222092717557,20.343145995866507,7395.652053004596,9446.859981078524
1783677023,353,,Aggregated,59.700000,0.000000,2600,3400,3900,4300,4900,5300,5700,5900,7100,7400,7400,2164,0,2600,2830.8812899775776,20.343145995866507,7395.652053004596,9470.75785582255
1783677024,355,,Aggregated,57.800000,0.000000,2700,3500,4000,4400,5000,5400,5800,6000,7100,7400,7400,2236,0,2700,2886.8751014331083,20.343145995866507,7395.652053004596,9463.470035778175
1783677025,357,,Aggregated,56.400000,0.000000,2700,3500,4100,4400,5000,5500,5800,6000,7100,7400,7400,2308,0,2700,2923.87009756172,20.343145995866507,7395.652053004596,9468.9575389948
1783677026,360,,Aggregated,58.000000,0.000000,2800,3500,4100,4400,5000,5400,5800,6000,7100,7400,7400,2384,0,2800,2942.406827626444,20.343145995866507,7395.652053004596,9447.232382550335
1783677027,362,,Aggregated,60.100000,0.000000,2800,3500,4100,4400,5000,5400,5800,6000,7100,7400,7400,2461,0,2800,2938.550492428052,20.343145995866507,7395.652053004596,9423.376676147907
1783677028,364,,Aggregated,61.800000,0.000000,2800,3600,4100,4400,5000,5400,5800,6000,7100,7400,7400,2498,0,2800,2957.720842717948,20.343145995866507,7395.652053004596,9441.344275420337
1783677029,366,,Aggregated,59.700000,0.000000,2800,3500,4100,4400,5000,5400,5800,6000,7100,7400,7400,2551,0,2800,2954.310668221287,20.343145995866507,7395.652053004596,9422.652685221481
1783677030,368,,Aggregated,59.600000,0.000000,2800,3600,4200,4500,5100,5500,5800,6000,7100,7400,7400,2624,0,2800,2976.3073286557124,20.343145995866507,7395.652053004596,9421.489329268292
1783677031,370,,Aggregated,60.800000,0.000000,2800,3600,4200,4500,5100,5500,5900,6100,7200,7400,7400,2670,0,2800,2997.567869855633,20.343145995866507,7395.652053004596,9437.410486891386
1783677032,373,,Aggregated,61.900000,0.000000,2800,3600,4300,4500,5200,5600,6000,6300,7200,7400,7400,2723,0,2800,3037.1661709848145,20.343145995866507,7395.652053004596,9449.016525890562
1783677033,375,,Aggregated,63.400000,0.000000,2900,3700,4300,4600,5300,5700,6100,6500,7300,7400,7400,2798,0,2900,3080.009870704668,20.343145995866507,7395.652053004596,9447.005718370265
1783677034,377,,Aggregated,59.600000,0.000000,2900,3700,4400,4600,5300,5700,6200,6500,7300,7400,7400,2877,0,2900,3123.38809904925,20.343145995866507,7395.652053004596,9439.238790406675
1783677035,379,,Aggregated,64.200000,0.000000,2900,3800,4400,4600,5300,5700,6200,6500,7300,7400,7400,2936,0,2900,3137.8242528152878,20.343145995866507,7395.652053004596,9432.99863760218
1783677036,381,,Aggregated,65.300000,0.000000,3000,3800,4400,4600,5300,5700,6200,6500,7200,7400,7400,3010,0,3000,3152.0298209696552,20.343145995866507,7395.652053004596,9456.978737541529
1783677037,383,,Aggregated,62.600000,0.000000,3000,3800,4400,4600,5300,5700,6200,6500,7200,7400,7400,3090,0,3000,3154.798474823503,20.343145995866507,7395.652053004596,9437.733980582525
1783677038,385,,Aggregated,61.200000,0.000000,3000,3800,4400,4600,5300,5700,6100,6500,7200,7400,7400,3160,0,3000,3166.267894567604,20.343145995866507,7395.652053004596,9456.272784810126
1783677039,387,,Aggregated,63.500000,0.000000,3000,3800,4400,4600,5300,5700,6100,6500,7200,7400,7400,3202,0,3000,3172.242089750946,20.343145995866507,7395.652053004596,9448.496876951906
1783677040,389,,Aggregated,65.800000,0.000000,3000,3800,4400,4600,5300,5700,6100,6400,7200,7400,7400,3301,0,3000,3187.629592834167,20.343145995866507,7395.652053004596,9457.77219024538
1783677041,391,,Aggregated,65.800000,0.000000,3000,3800,4400,4600,5300,5700,6100,6400,7200,7400,7400,3360,0,3000,3188.5075190999023,20.343145995866507,7395.652053004596,9452.319047619048
1783677042,393,,Aggregated,69.900000,0.000000,3000,3800,4400,4600,5300,5700,6100,6400,7200,7400,7400,3420,0,3000,3194.226810212138,20.343145995866507,7395.652053004596,9443.136842105263
1783677043,395,,Aggregated,68.600000,0.000000,3000,3800,4400,4600,5300,5700,6100,6500,7200,7400,7400,3466,0,3000,3198.8606543827177,20.343145995866507,7395.652053004596,9437.533756491634
1783677044,397,,Aggregated,70.800000,0.000000,3000,3900,4400,4700,5300,5800,6300,6600,7200,7400,7400,3550,0,3000,3239.705687374518,20.343145995866507,7395.652053004596,9453.237746478873
1783677045,399,,Aggregated,68.000000,0.000000,3100,3900,4500,4700,5400,5800,6300,6600,7200,7400,7400,3605,0,3100,3253.0159436736462,20.343145995866507,7395.652053004596,9439.353952843274
1783677046,401,,Aggregated,65.500000,0.000000,3100,3900,4500,4700,5400,5800,6300,6600,7200,7400,7400,3663,0,3100,3275.637992681547,20.343145995866507,7395.652053004596,9442.680862680863
1783677047,403,,Aggregated,67.400000,0.000000,3100,3900,4500,4700,5400,5800,6300,6600,7200,7400,7400,3746,0,3100,3302.3149787950956,20.343145995866507,7395.652053004596,9436.539775760812
1783677048,405,,Aggregated,67.000000,0.000000,3200,4000,4500,4800,5400,5800,6300,6600,7200,7400,7400,3810,0,3200,3322.1266612859613,20.343145995866507,7395.652053004596,9437.672440944882
1783677049,407,,Aggregated,67.000000,0.000000,3200,4000,4500,4800,5500,5800,6300,6600,7200,7400,7400,3879,0,3200,3340.120559978736,20.343145995866507,7395.652053004596,9447.030935808198
1783677050,409,,Aggregated,63.500000,0.000000,3200,4000,4600,4800,5400,5800,6300,6600,7200,7400,7400,3940,0,3200,3349.4261356440197,20.343145995866507,7395.652053004596,9446.740101522842
1783677051,411,,Aggregated,67.300000,0.000000,3200,4000,4600,4800,5400,5800,6300,6600,7100,7400,7400,4006,0,3200,3352.3834966453664,20.343145995866507,7395.652053004596,9428.398901647528
1783677052,413,,Aggregated,63.100000,0.000000,3200,4000,4600,4800,5500,5900,6300,6600,7100,7400,7400,4076,0,3200,3368.513648239761,20.343145995866507,7395.652053004596,9426.721786064769
1783677053,414,,Aggregated,65.200000,0.000000,3200,4000,4600,4900,5500,5900,6300,6600,7100,7400,7400,4137,0,3200,3387.7282216258955,20.343145995866507,7395.652053004596,9441.02973168963
1783677054,416,,Aggregated,66.600000,0.000000,3300,4000,4600,4900,5500,5900,6300,6600,7100,7400,7400,4203,0,3300,3401.1673904778313,20.343145995866507,7395.652053004596,9439.660956459671
1783677055,418,,Aggregated,66.200000,0.000000,3300,4100,4600,4900,5500,5900,6400,6600,7200,7400,7400,4258,0,3300,3422.5964913917965,20.343145995866507,7395.652053004596,9454.091827148895
1783677056,420,,Aggregated,65.600000,0.000000,3300,4200,4600,4900,5500,5900,6400,6600,7300,7400,7400,4343,0,3300,3445.3905735886306,20.343145995866507,7395.652053004596,9452.7683628828
1783677057,422,,Aggregated,63.500000,0.000000,3300,4200,4700,4900,5500,5900,6400,6600,7300,7400,7400,4427,0,3300,3457.958905624225,20.343145995866507,7395.652053004596,9453.031850011293
1783677058,424,,Aggregated,64.000000,0.000000,3300,4200,4700,5000,5500,5900,6400,6600,7300,7400,7400,4497,0,3300,3466.4055122685245,20.343145995866507,7395.652053004596,9442.833444518568
1783677059,425,,Aggregated,66.800000,0.000000,3300,4200,4700,5000,5500,5900,6300,6600,7300,7400,7400,4569,0,3300,3473.392744457352,20.343145995866507,7395.652053004596,9433.648500766032
1783677060,427,,Aggregated,70.000000,0.000000,3300,4200,4700,5000,5500,5900,6400,6600,7300,7400,7400,4624,0,3300,3485.090183391118,20.343145995866507,7395.652053004596,9437.197880622838
1783677061,429,,Aggregated,68.100000,0.000000,3400,4200,4700,5000,5600,6000,6400,6700,7300,7400,7400,4690,0,3400,3496.7043149751926,20.343145995866507,7395.652053004596,9432.83368869936
1783677062,430,,Aggregated,69.100000,0.000000,3400,4200,4700,5000,5600,6000,6400,6700,7300,7400,7400,4753,0,3400,3506.458309196446,20.343145995866507,7395.652053004596,9426.933936461182
1783677063,432,,Aggregated,65.600000,0.000000,3400,4200,4700,5000,5600,6000,6400,6700,7300,7400,7400,4822,0,3400,3519.6637079905995,20.343145995866507,7395.652053004596,9433.599336374948
1783677064,434,,Aggregated,66.100000,0.000000,3400,4200,4700,5000,5600,6000,6500,6700,7300,7400,7400,4890,0,3400,3530.44044227437,20.343145995866507,7395.652053004596,9436.579141104294
1783677065,436,,Aggregated,68.300000,0.000000,3400,4200,4700,5000,5600,6000,6500,6800,7300,7400,7400,4960,0,3400,3521.6056352547544,20.343145995866507,7395.652053004596,9429.484274193548
1783677066,437,,Aggregated,68.900000,0.000000,3400,4200,4700,5100,5700,6200,6600,6900,7600,7900,7900,5029,0,3400,3556.807902157174,20.343145995866507,7922.292638977524,9454.299463113939
1783677067,439,,Aggregated,71.400000,0.000000,3400,4200,4700,5100,5700,6200,6700,7000,7800,7900,7900,5093,0,3400,3558.6699231441903,20.343145995866507,7941.569921007613,9441.557235421167
1783677068,440,,Aggregated,71.000000,0.000000,3400,4300,4800,5100,5800,6300,6800,7100,7900,8500,8500,5149,0,3400,3581.6962617747863,20.343145995866507,8497.061722009676,9461.397941347834
