Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/cart/checkout,RemoteDisconnected('Remote end closed connection without response'),3,2026-07-10T08:43:28Z,2026-07-10T08:43:28Z
GET,/,RemoteDisconnected('Remote end closed connection without response'),21,2026-07-10T08:43:28Z,2026-07-10T08:43:28Z
GET,/product/[id],RemoteDisconnected('Remote end closed connection without response'),9,2026-07-10T08:27:28Z,2026-07-10T08:43:28Z
POST,/setCurrency,RemoteDisconnected('Remote end closed connection without response'),2,2026-07-10T08:43:28Z,2026-07-10T08:43:28Z
POST,/cart [add],HTTPError('500 Server Error: Internal Server Error for url: /cart [add]'),370,2026-07-10T08:42:34Z,2026-07-10T08:42:53Z
GET,/,"ConnectionResetError(104, 'Connection reset by peer')",1,2026-07-10T08:45:42Z,2026-07-10T08:45:42Z
POST,/setCurrency,HTTPError('500 Server Error: Internal Server Error for url: /setCurrency'),207,2026-07-10T08:42:34Z,2026-07-10T08:42:52Z
GET,/,HTTPError('500 Server Error: Internal Server Error for url: /'),1645,2026-07-10T08:42:34Z,2026-07-10T08:42:53Z
GET,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),592,2026-07-10T08:42:34Z,2026-07-10T08:42:52Z
GET,/cart,RemoteDisconnected('Remote end closed connection without response'),2,2026-07-10T08:43:28Z,2026-07-10T08:43:28Z
POST,/cart/checkout,HTTPError('500 Server Error: Internal Server Error for url: /cart/checkout'),388,2026-07-10T08:42:34Z,2026-07-10T08:42:52Z
GET,/product/[id],HTTPError('500 Server Error: Internal Server Error for url: /product/[id]'),1131,2026-07-10T08:42:34Z,2026-07-10T08:42:53Z
