Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/cart/checkout,RemoteDisconnected('Remote end closed connection without response'),2,2026-07-09T22:47:36Z,2026-07-09T22:47:36Z
GET,/,RemoteDisconnected('Remote end closed connection without response'),8,2026-07-09T22:47:36Z,2026-07-09T22:47:36Z
POST,/setCurrency,RemoteDisconnected('Remote end closed connection without response'),3,2026-07-09T22:47:36Z,2026-07-09T22:47:36Z
POST,/cart [add],HTTPError('500 Server Error: Internal Server Error for url: /cart [add]'),4344,2026-07-09T22:41:24Z,2026-07-09T22:46:43Z
POST,/cart [add],RemoteDisconnected('Remote end closed connection without response'),1,2026-07-09T22:47:36Z,2026-07-09T22:47:36Z
POST,/setCurrency,HTTPError('500 Server Error: Internal Server Error for url: /setCurrency'),2293,2026-07-09T22:41:24Z,2026-07-09T22:46:44Z
GET,/,HTTPError('500 Server Error: Internal Server Error for url: /'),18427,2026-07-09T22:41:24Z,2026-07-09T22:46:44Z
GET,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),6611,2026-07-09T22:41:24Z,2026-07-09T22:46:43Z
POST,/cart/checkout,HTTPError('500 Server Error: Internal Server Error for url: /cart/checkout'),4466,2026-07-09T22:41:24Z,2026-07-09T22:46:41Z
GET,/product/[id],HTTPError('500 Server Error: Internal Server Error for url: /product/[id]'),13064,2026-07-09T22:41:24Z,2026-07-09T22:46:44Z
