Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/cart/checkout,RemoteDisconnected('Remote end closed connection without response'),4,2026-07-10T17:23:11Z,2026-07-10T17:35:56Z
GET,/,RemoteDisconnected('Remote end closed connection without response'),20,2026-07-10T17:23:11Z,2026-07-10T17:48:11Z
GET,/product/[id],RemoteDisconnected('Remote end closed connection without response'),1,2026-07-10T17:35:56Z,2026-07-10T17:35:56Z
POST,/setCurrency,RemoteDisconnected('Remote end closed connection without response'),3,2026-07-10T17:35:56Z,2026-07-10T17:35:56Z
POST,/cart [add],HTTPError('500 Server Error: Internal Server Error for url: /cart [add]'),1042,2026-07-10T17:33:04Z,2026-07-10T17:35:51Z
POST,/cart [add],RemoteDisconnected('Remote end closed connection without response'),4,2026-07-10T17:35:56Z,2026-07-10T17:35:56Z
POST,/setCurrency,HTTPError('500 Server Error: Internal Server Error for url: /setCurrency'),611,2026-07-10T17:33:04Z,2026-07-10T17:35:51Z
GET,/,HTTPError('500 Server Error: Internal Server Error for url: /'),4665,2026-07-10T17:33:03Z,2026-07-10T17:35:52Z
GET,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),1596,2026-07-10T17:33:04Z,2026-07-10T17:35:51Z
GET,/cart,RemoteDisconnected('Remote end closed connection without response'),1,2026-07-10T17:35:56Z,2026-07-10T17:35:56Z
POST,/cart/checkout,"ConnectionResetError(104, 'Connection reset by peer')",1,2026-07-10T17:35:56Z,2026-07-10T17:35:56Z
POST,/cart/checkout,HTTPError('500 Server Error: Internal Server Error for url: /cart/checkout'),1044,2026-07-10T17:33:04Z,2026-07-10T17:35:49Z
GET,/product/[id],HTTPError('500 Server Error: Internal Server Error for url: /product/[id]'),3216,2026-07-10T17:33:03Z,2026-07-10T17:35:52Z
