Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783478102,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783478103,50,,Aggregated,0.000000,0.000000,520,620,720,720,820,820,820,820,820,820,820,53,0,520,534.829456867916,55.98060200281907,821.8490260042017,9326.66037735849
1783478104,150,,Aggregated,0.000000,0.000000,610,670,720,730,820,880,970,970,970,970,970,91,0,610,570.6598886593653,55.98060200281907,969.2987910020747,8973.197802197803
1783478105,200,,Aggregated,17.000000,0.000000,820,1100,1300,1400,1500,1700,1700,1900,1900,1900,1900,168,0,820,911.8399664407877,55.98060200281907,1909.6658159978688,9547.404761904761
1783478106,250,,Aggregated,30.000000,0.000000,1100,1300,1400,1500,1600,1700,1800,1900,2000,2000,2000,249,0,1100,1046.2064912211222,55.98060200281907,2022.066953999456,9562.305220883534
1783478107,284,,Aggregated,41.666667,0.000000,1200,1400,1500,1500,1700,1700,1900,2000,2000,2000,2000,338,0,1200,1140.9901528226458,55.98060200281907,2022.066953999456,9442.502958579882
1783478108,286,,Aggregated,48.750000,0.000000,1300,1500,1500,1600,1700,1800,1900,2000,2000,2000,2000,421,0,1300,1210.85008627332,55.98060200281907,2022.066953999456,9427.420427553445
1783478109,289,,Aggregated,55.000000,0.000000,1300,1500,1600,1700,1800,1900,2000,2100,2400,2400,2400,500,0,1300,1263.266118794127,55.98060200281907,2361.9575920019997,9485.896
1783478110,291,,Aggregated,61.666667,0.000000,1400,1600,1700,1700,1800,1900,2000,2100,2400,2400,2400,587,0,1400,1333.3251866287228,55.98060200281907,2361.9575920019997,9577.879045996593
1783478111,293,,Aggregated,65.428571,0.000000,1500,1600,1700,1700,1900,2000,2000,2100,2400,2400,2400,681,0,1500,1374.1976191088029,55.98060200281907,2361.9575920019997,9514.543318649046
1783478112,296,,Aggregated,66.500000,0.000000,1500,1600,1700,1700,1900,2000,2100,2100,2400,2400,2400,751,0,1500,1408.038099508711,55.98060200281907,2361.9575920019997,9513.616511318241
1783478113,298,,Aggregated,69.333333,0.000000,1500,1700,1700,1800,1900,2000,2100,2200,2400,2400,2400,820,0,1500,1441.5873137110416,55.98060200281907,2366.680136998184,9559.34024390244
1783478114,300,,Aggregated,71.400000,0.000000,1600,1700,1800,1800,2000,2100,2200,2300,2600,2600,2600,908,0,1600,1483.9114656718884,55.98060200281907,2550.1485990025685,9539.937224669604
1783478115,303,,Aggregated,75.700000,0.000000,1600,1700,1800,1800,2000,2100,2200,2300,2500,2600,2600,1013,0,1600,1512.9091995469723,55.98060200281907,2550.1485990025685,9488.478775913129
1783478116,305,,Aggregated,79.300000,0.000000,1600,1700,1800,1800,2000,2100,2200,2300,2600,2600,2600,1088,0,1600,1529.3736347803988,55.98060200281907,2593.024711997714,9483.298713235294
1783478117,307,,Aggregated,82.800000,0.000000,1600,1700,1800,1900,2000,2100,2200,2300,2600,2700,2700,1162,0,1600,1539.9881385490946,55.98060200281907,2711.5639340045163,9526.534423407917
1783478118,310,,Aggregated,84.600000,0.000000,1600,1700,1800,1900,2000,2100,2200,2400,2600,2700,2700,1259,0,1600,1543.9246897975481,55.98060200281907,2711.5639340045163,9469.093725178713
1783478119,312,,Aggregated,84.200000,0.000000,1600,1800,1900,1900,2100,2200,2400,2500,2700,2700,2700,1346,0,1600,1578.6218580847672,55.98060200281907,2711.5639340045163,9548.139673105497
1783478120,314,,Aggregated,83.400000,0.000000,1700,1800,1900,1900,2100,2200,2400,2500,2700,2700,2700,1445,0,1700,1591.9421649792996,55.98060200281907,2711.5639340045163,9481.589619377162
1783478121,317,,Aggregated,82.000000,0.000000,1700,1800,1900,1900,2100,2200,2400,2500,2700,2700,2700,1509,0,1700,1602.9266305123292,55.98060200281907,2711.5639340045163,9495.249171636846
1783478122,319,,Aggregated,85.200000,0.000000,1700,1800,1900,2000,2100,2200,2400,2500,2700,2700,2700,1601,0,1700,1614.5579202355361,55.98060200281907,2711.5639340045163,9512.300437226733
1783478123,321,,Aggregated,83.300000,0.000000,1700,1800,1900,2000,2100,2200,2400,2500,2700,2700,2700,1704,0,1700,1624.0090787793995,55.98060200281907,2711.5639340045163,9497.665492957747
1783478124,324,,Aggregated,82.500000,0.000000,1700,1800,1900,2000,2100,2300,2500,2600,2800,2800,2800,1790,0,1700,1633.7723633508951,55.98060200281907,2808.7617689961917,9501.120111731843
1783478125,326,,Aggregated,86.400000,0.000000,1700,1800,1900,2000,2200,2300,2500,2600,2800,2800,2800,1873,0,1700,1643.242407064124,55.98060200281907,2808.7617689961917,9483.019220501868
1783478126,328,,Aggregated,88.500000,0.000000,1700,1800,1900,2000,2200,2300,2500,2600,2800,2800,2800,1957,0,1700,1645.0853151364884,55.98060200281907,2808.7617689961917,9469.89218191109
