▶  evidence path override: experiments/results/ramp-hybrid-001-evidence.jsonl
▶  config loaded: service=frontend namespace=default
▶  model registry loaded: phase3_20260709T001052Z_model_registry.yaml → holt_winters for frontend
▶  starting control loop (tick=15s, horizon=30s, forecaster=holt_winters)
2026-07-10T01:46:53Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=1 to=3
2026-07-10T01:46:53Z INFO controller.loop: tick service=frontend state=SCALE_LIMITED replicas 1→3 forecast=0.189 sigma=0.007
2026-07-10T01:47:08Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=3 to=5
2026-07-10T01:47:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 3→5 forecast=0.192 sigma=0.010
2026-07-10T01:47:23Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=5 to=3
2026-07-10T01:47:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 5→3 forecast=0.119 sigma=0.013
2026-07-10T01:47:38Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=3 to=2
2026-07-10T01:47:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 3→2 forecast=0.061 sigma=0.013
2026-07-10T01:47:53Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=2 to=3
2026-07-10T01:47:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 2→3 forecast=0.106 sigma=0.014
2026-07-10T01:48:08Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=3 to=4
2026-07-10T01:48:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 3→4 forecast=0.171 sigma=0.016
2026-07-10T01:48:23Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=4 to=5
2026-07-10T01:48:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 4→5 forecast=0.180 sigma=0.027
2026-07-10T01:48:38Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=5 to=6
2026-07-10T01:48:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 5→6 forecast=0.194 sigma=0.039
2026-07-10T01:48:53Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=6 to=8
2026-07-10T01:48:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 6→8 forecast=0.435 sigma=0.020
2026-07-10T01:49:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.407 sigma=0.025
2026-07-10T01:49:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.478 sigma=0.027
2026-07-10T01:49:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.414 sigma=0.026
2026-07-10T01:49:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.504 sigma=0.027
2026-07-10T01:50:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.455 sigma=0.028
2026-07-10T01:50:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.592 sigma=0.030
2026-07-10T01:50:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.603 sigma=0.030
2026-07-10T01:50:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.476 sigma=0.034
2026-07-10T01:51:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.577 sigma=0.032
2026-07-10T01:51:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.637 sigma=0.032
2026-07-10T01:51:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.582 sigma=0.032
2026-07-10T01:51:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.471 sigma=0.035
2026-07-10T01:52:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.392 sigma=0.035
2026-07-10T01:52:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.522 sigma=0.036
2026-07-10T01:52:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.524 sigma=0.036
2026-07-10T01:52:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.480 sigma=0.036
2026-07-10T01:53:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.456 sigma=0.036
2026-07-10T01:53:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.529 sigma=0.037
2026-07-10T01:53:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.519 sigma=0.037
