▶  evidence path override: experiments/results/trace_replay-hybrid-008-evidence.jsonl
▶  config loaded: service=frontend namespace=default
▶  model registry loaded: phase3_20260709T001052Z_model_registry.yaml → holt_winters for frontend
▶  starting control loop (tick=15s, horizon=30s, forecaster=holt_winters)
2026-07-10T04:57:56Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=1 to=3
2026-07-10T04:57:56Z INFO controller.loop: tick service=frontend state=SCALE_LIMITED replicas 1→3 forecast=0.190 sigma=0.012
2026-07-10T04:58:10Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=3 to=4
2026-07-10T04:58:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 3→4 forecast=0.180 sigma=0.013
2026-07-10T04:58:25Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=4 to=5
2026-07-10T04:58:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 4→5 forecast=0.182 sigma=0.013
2026-07-10T04:58:40Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=5 to=4
2026-07-10T04:58:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 5→4 forecast=0.178 sigma=0.014
2026-07-10T04:58:55Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=4 to=5
2026-07-10T04:58:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 4→5 forecast=0.188 sigma=0.016
2026-07-10T04:59:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 5→5 forecast=0.178 sigma=0.019
2026-07-10T04:59:25Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=5 to=7
2026-07-10T04:59:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 5→7 forecast=0.284 sigma=0.024
2026-07-10T04:59:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 7→7 forecast=0.299 sigma=0.024
2026-07-10T04:59:55Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=7 to=6
2026-07-10T04:59:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 7→6 forecast=0.255 sigma=0.028
2026-07-10T05:00:10Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=6 to=7
2026-07-10T05:00:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 6→7 forecast=0.259 sigma=0.027
2026-07-10T05:00:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 7→7 forecast=0.292 sigma=0.028
2026-07-10T05:00:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 7→7 forecast=0.293 sigma=0.028
2026-07-10T05:00:55Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=7 to=8
2026-07-10T05:00:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 7→8 forecast=0.334 sigma=0.029
2026-07-10T05:01:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.366 sigma=0.029
2026-07-10T05:01:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.390 sigma=0.029
2026-07-10T05:01:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.430 sigma=0.029
2026-07-10T05:01:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.430 sigma=0.028
2026-07-10T05:02:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.392 sigma=0.029
2026-07-10T05:02:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.334 sigma=0.031
2026-07-10T05:02:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.336 sigma=0.030
2026-07-10T05:02:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.379 sigma=0.030
2026-07-10T05:03:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.360 sigma=0.030
2026-07-10T05:03:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.370 sigma=0.030
2026-07-10T05:03:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.304 sigma=0.034
2026-07-10T05:03:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.365 sigma=0.031
2026-07-10T05:04:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.332 sigma=0.032
2026-07-10T05:04:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.340 sigma=0.032
2026-07-10T05:04:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.349 sigma=0.032
2026-07-10T05:04:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.361 sigma=0.032
2026-07-10T05:05:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.360 sigma=0.031
2026-07-10T05:05:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.387 sigma=0.031
2026-07-10T05:05:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.406 sigma=0.031
2026-07-10T05:05:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.430 sigma=0.032
2026-07-10T05:06:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.425 sigma=0.031
2026-07-10T05:06:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.430 sigma=0.031
2026-07-10T05:06:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.402 sigma=0.032
2026-07-10T05:06:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.395 sigma=0.032
2026-07-10T05:07:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.404 sigma=0.034
2026-07-10T05:07:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.412 sigma=0.034
2026-07-10T05:07:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.430 sigma=0.035
2026-07-10T05:07:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.519 sigma=0.033
2026-07-10T05:08:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.489 sigma=0.034
2026-07-10T05:08:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.450 sigma=0.035
2026-07-10T05:08:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.423 sigma=0.035
2026-07-10T05:08:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.449 sigma=0.032
2026-07-10T05:09:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.480 sigma=0.032
2026-07-10T05:09:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.486 sigma=0.032
2026-07-10T05:09:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.503 sigma=0.033
2026-07-10T05:09:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.499 sigma=0.028
2026-07-10T05:10:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.432 sigma=0.029
2026-07-10T05:10:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.461 sigma=0.028
2026-07-10T05:10:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.484 sigma=0.028
2026-07-10T05:10:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.419 sigma=0.030
2026-07-10T05:11:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.394 sigma=0.029
2026-07-10T05:11:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.417 sigma=0.029
2026-07-10T05:11:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.370 sigma=0.030
