name,mean_rmse,mean_mae,mean_pinball_q70,inference_p95_seconds,n_parameters,failed_folds,fold_rmses,fold_maes,service
xgboost,0.005566030861505642,0.004601594684039677,0.0026330236950721925,0.0019187664016499183,3200,0,"[0.00554460717738357, 0.00660687376415905, 0.0045466116429743065]","[0.0045953220492013225, 0.005709588921500375, 0.003499873081417333]",adservice
holt_winters,0.005883721335965431,0.004692876217496853,0.00232454545045079,0.0034848913994210305,10,0,"[0.004988377817081747, 0.007016006863131782, 0.005646779327682765]","[0.00425096836997366, 0.005903837319641948, 0.003923822962874953]",adservice
sarima,0.00588872535767829,0.005281624977236839,0.002157946680926795,0.0005183580004086252,4,0,"[0.006476135941165321, 0.005665485211725951, 0.005524554920143596]","[0.005865468355001815, 0.005040492188956802, 0.004938914387751897]",adservice
seasonal_naive,0.007076196947415393,0.0054363223280286,0.0027626587437651075,0.00012755899952026083,0,0,"[0.005887008000140538, 0.007109722386420332, 0.008231860455685311]","[0.004623560405542088, 0.005506862476479241, 0.0061785441020644725]",adservice
lstm,inf,inf,inf,inf,0,3,[],[],adservice
xgboost,0.007790989681685986,0.006835463063828477,0.003957374753819289,0.0019524920018739067,3200,0,"[0.009813122862844066, 0.0070869104165655564, 0.0064729357656483355]","[0.008844657790335548, 0.006424738211578156, 0.005236993189571728]",cartservice
holt_winters,0.008158870123009011,0.0067772161412165514,0.003475515210940395,0.003710991000116337,10,0,"[0.010663240287989683, 0.006369436624563425, 0.007443933456473924]","[0.00891177767821659, 0.005482037699723338, 0.0059378330457097285]",cartservice
sarima,0.00848935501727694,0.006885072719926821,0.004497568772249426,0.00042266699965693984,3,0,"[0.009012264455290984, 0.008045592921601718, 0.008410207674938122]","[0.006706855695059844, 0.007415186753300584, 0.006533175711420034]",cartservice
seasonal_naive,0.00924737400191293,0.007790053168026799,0.004078959725179094,0.00012512479806900956,0,0,"[0.009140286441754939, 0.008293951516379457, 0.010307884047604394]","[0.007496852198777468, 0.006898783291929741, 0.008974524013373189]",cartservice
lstm,inf,inf,inf,inf,0,3,[],[],cartservice
holt_winters,0.009967514666726943,0.008358110520130543,0.004380757228646951,0.003706958198745269,10,0,"[0.01054934553029809, 0.010197675876422875, 0.00915552259345986]","[0.009478601083047343, 0.008114275975565537, 0.007481454501778753]",checkoutservice
xgboost,0.010440487005577212,0.009017739147266543,0.005443022002177506,0.00213308340171352,3200,0,"[0.014554160053319488, 0.00976302400574645, 0.0070042769576657005]","[0.01345036657702433, 0.007564980377969648, 0.006037870486805653]",checkoutservice
sarima,0.011885675915108222,0.010609994240522932,0.00682430560030508,0.0004911164010991341,4,0,"[0.008900325667740232, 0.01950660113308952, 0.00725010094449491]","[0.007507012391782267, 0.018029200262311293, 0.006293770067475239]",checkoutservice
seasonal_naive,0.012964406053332767,0.010772947691157506,0.0056600281135476315,0.00012408399998093954,0,0,"[0.01272616844834855, 0.014000512224393184, 0.01216653748725657]","[0.01058675178550578, 0.010992363059544737, 0.010739728228422]",checkoutservice
lstm,inf,inf,inf,inf,0,3,[],[],checkoutservice
xgboost,0.003166144695008812,0.0024313513729941317,0.001337806042269244,0.0019696749994182025,3200,0,"[0.002743099248948552, 0.0027965446215876782, 0.003958790214490205]","[0.0023101653350211635, 0.001980012998631267, 0.0030038757853299643]",currencyservice
sarima,0.003311116108060331,0.0024207204030070456,0.0012436276664886455,0.0005067583988420665,4,0,"[0.003102695630148103, 0.0028004638243174897, 0.004030188869715399]","[0.0022021617777246445, 0.0021345936494694055, 0.0029254057818270864]",currencyservice
holt_winters,0.0033421783468401806,0.00252886344250039,0.0012020805796727943,0.0032403918005002195,10,0,"[0.002954380125982218, 0.002692879358925515, 0.0043792755556128085]","[0.0021631288871183287, 0.0021262582400047806, 0.0032972032003780617]",currencyservice
seasonal_naive,0.004602807503488941,0.0036582555877345754,0.0018372626011505758,0.00011673300105030648,0,0,"[0.003309623772092924, 0.004288951091239847, 0.006209847647134052]","[0.0025542372839074266, 0.0036323491143623325, 0.004788180364933967]",currencyservice
lstm,inf,inf,inf,inf,0,3,[],[],currencyservice
holt_winters,0.0030512944089915776,0.0026498607787564707,0.0012888805751064942,0.0019391663983697072,10,0,"[0.002475014328398467, 0.0030468337439919055, 0.0036320351545843592]","[0.0021216048166274636, 0.0026415402462670145, 0.0031864372733749337]",emailservice
xgboost,0.0031534837473360063,0.002825943255609912,0.0014191569411294359,0.002066808001109166,3200,0,"[0.0032919930286865514, 0.002743104750810489, 0.0034253534625109795]","[0.002704981748752948, 0.002567690703131456, 0.003205157314945332]",emailservice
