candidate,n_folds,rmse_baseline,rmse_candidate,rmse_reduction,t_stat,raw_p,holm_p,holm_threshold,significant_holm,cohens_d,service
xgboost,5,0.014336294185095,0.010551869498565255,0.0037844246865297456,9.489805870789516,0.00034403856609482316,0.0010321156982844694,0.016666666666666666,True,4.243970204072389,adservice
holt_winters,5,0.014336294185095,0.009300435101516362,0.005035859083578641,5.386191180969767,0.0028724209673274053,0.005744841934654811,0.025,True,2.408777924091654,adservice
sarima,5,0.014336294185095,0.02821797448607504,-0.01388168030098004,-4.871321864401082,0.9958940744028835,0.9958940744028835,0.05,False,-2.1785213658163665,adservice
holt_winters,5,0.007076783555073575,0.0051928455383664805,0.0018839380167070946,7.53394022645154,0.0008311326642283079,0.002493397992684924,0.016666666666666666,True,3.3692804969531602,cartservice
xgboost,5,0.007076783555073575,0.005289533471484224,0.0017872500835893507,6.203860593077719,0.0017169460093658527,0.0034338920187317054,0.025,True,2.774450801810788,cartservice
sarima,5,0.007076783555073575,0.013646202534084837,-0.006569418979011263,-2.1365164474891003,0.950261788959413,0.950261788959413,0.05,False,-0.9554792023263976,cartservice
holt_winters,5,0.00026901803639667646,0.0002397749130226672,2.9243123374009255e-05,2.778657050639961,0.02494349075242673,0.07483047225728019,0.016666666666666666,False,1.2426532102780057,checkoutservice
xgboost,5,0.00026901803639667646,0.00024259941926655314,2.641861713012331e-05,1.7034280829812054,0.08184803816838734,0.1636960763367747,0.025,False,0.7617961976656257,checkoutservice
sarima,5,0.00026901803639667646,0.0003226812642947143,-5.366322789803783e-05,-1.9382783514147668,0.9376881693135163,0.9376881693135163,0.05,False,-0.8668244306159288,checkoutservice
xgboost,5,0.023485294610597084,0.017075086511793607,0.006410208098803475,25.890597940516077,6.610677629468747e-06,1.983203288840624e-05,0.016666666666666666,True,11.578627394622002,currencyservice
holt_winters,5,0.023485294610597084,0.017824587901433188,0.005660706709163894,23.00399990971687,1.0579284530477716e-05,2.115856906095543e-05,0.025,True,10.28770151050519,currencyservice
sarima,5,0.023485294610597084,0.047265264713838705,-0.023779970103241628,-2.249699303697776,0.9561628145219052,0.9561628145219052,0.05,False,-1.0060961144004341,currencyservice
holt_winters,5,0.0005704185366051483,0.0004480177069974235,0.0001224008296077248,2.7493178505245495,0.025705229316001124,0.07711568794800337,0.016666666666666666,False,1.2295323211052995,emailservice
xgboost,5,0.0005704185366051483,0.0004298438192393888,0.0001405747173657595,2.6491198522456356,0.02851709332263626,0.07711568794800337,0.025,False,1.184722414033088,emailservice
sarima,5,0.0005704185366051483,0.0006389264069015282,-6.850787029637988e-05,-0.7569999057063612,0.7544039957450894,0.7544039957450894,0.05,False,-0.33854064962407093,emailservice
holt_winters,5,0.022763919119940478,0.016584313601482967,0.006179605518457514,21.277082010500532,1.4424623548113055e-05,4.3273870644339166e-05,0.016666666666666666,True,9.515400347663416,frontend
xgboost,5,0.022763919119940478,0.016523113329099233,0.006240805790841245,8.23037795187414,0.0005941072981560897,0.0011882145963121795,0.025,True,3.6807369161812136,frontend
sarima,5,0.022763919119940478,0.049181582186265296,-0.026417663066324815,-2.2061934260287948,0.9539923114913988,0.9539923114913988,0.05,False,-0.9866396944227078,frontend
holt_winters,5,0.00041345673913927,0.0003582923259136967,5.5164413225573316e-05,11.748502265423344,0.00015014153426225462,0.00045042460278676386,0.016666666666666666,True,5.254089939859375,paymentservice
xgboost,5,0.00041345673913927,0.0003166142785523523,9.684246058691768e-05,7.506785212401905,0.0008425521624249427,0.0016851043248498855,0.025,True,3.3571364054841712,paymentservice
sarima,5,0.00041345673913927,0.00044217243243553796,-2.8715693296267955e-05,-0.7447401270708577,0.7510976704008266,0.7510976704008266,0.05,False,-0.3330579099404538,paymentservice
holt_winters,5,0.008370982157220217,0.005504792897503339,0.002866189259716877,9.841590469144597,0.0002989121781866278,0.0008967365345598834,0.016666666666666666,True,4.401293059144273,productcatalogservice
xgboost,5,0.008370982157220217,0.006138867338964487,0.002232114818255728,3.7627497220652337,0.009863925003299157,0.019727850006598314,0.025,True,1.6827528321712606,productcatalogservice
sarima,5,0.008370982157220217,0.017442252000375597,-0.009071269843155382,-4.381501852336942,0.9940695041508362,0.9940695041508362,0.05,False,-1.9594671970733295,productcatalogservice
holt_winters,5,0.019724421912896604,0.012602583532398709,0.0071218383804979,57.475645380543114,2.743531116571302e-07,8.230593349713906e-07,0.016666666666666666,True,25.703890024313232,recommendationservice
xgboost,5,0.019724421912896604,0.012082974059191797,0.007641447853704808,41.6903604335787,9.892696690154727e-07,1.9785393380309455e-06,0.025,True,18.644495987189913,recommendationservice
sarima,5,0.019724421912896604,0.04791218229459747,-0.02818776038170086,-2.467171158738464,0.9654217548033601,0.9654217548033601,0.05,False,-1.1033524846132259,recommendationservice
holt_winters,5,0.0011656698146219223,0.0007909535821736216,0.0003747162324483007,8.85116101902608,0.00044981992745357435,0.001349459782360723,0.016666666666666666,True,3.9583595436677244,shippingservice
xgboost,5,0.0011656698146219223,0.000786253742300649,0.0003794160723212734,6.563026594144035,0.001394144379354405,0.00278828875870881,0.025,True,2.9350747205289967,shippingservice
sarima,5,0.0011656698146219223,0.002755337464435401,-0.0015896676498134785,-2.592269275912318,0.9697305191123561,0.9697305191123561,0.05,False,-1.1592980633848202,shippingservice
